ipopt_zL_out
Variable noncollocation_error
0 -5.741437046607894e-09
1 -5.650199149413681e-09
2 -5.563848792865675e-09
3 -5.481018673227748e-09
4 -5.401299342804185e-09
5 -1.1322084463063084e-08
6 -1.1145127408669861e-08
7 -1.0985644684655016e-08
8 -1.0852889712896774e-08
9 -1.0755786573768043e-08
10 -1.0701688039279138e-08
11 -1.0695186637030375e-08
12 -1.0737263583593544e-08
13 -1.082506808447776e-08
14 -1.0952373888318978e-08
15 -1.1110613839628392e-08
16 -1.1290246148855254e-08
17 -8.539762396077357e-09
18 -8.598087046576702e-09
19 -8.654958117392933e-09
20 -8.709493493335904e-09
21 -8.761356378240899e-09
22 -8.810931427948831e-09
23 -8.859566094614547e-09
24 -8.910123638366718e-09
Variable virtual_noncollocation_error_sum
None -1.4879452906982415e-11
Variable time
Variable tf
0 -1.2174132388005773e-13
1 -1.4221642469143819e-13
2 -1.6676152751443343e-13
3 -1.963165535780199e-13
4 -2.3195764676242973e-13
5 -1.4856620746576145e-13
6 -1.6831131773888093e-13
7 -1.879607011779088e-13
8 -2.0574477949878705e-13
9 -2.194837866825046e-13
10 -2.270878722727668e-13
11 -2.2724800879409293e-13
12 -2.1995421633341325e-13
13 -2.0649530635938047e-13
14 -1.8894222207926787e-13
15 -1.6946273273958835e-13
16 -1.4982395625657312e-13
17 -3.802295707443111e-13
18 -3.1186882392070706e-13
19 -2.589694223851551e-13
20 -2.173032902988873e-13
21 -1.8392543093541097e-13
22 -1.567471652604508e-13
23 -1.3425451152076185e-13
24 -1.153208197236253e-13
Variable rx
0.0 -9.999999999989998e-16
0.006202 -1.001786113304585e-15
0.025798 -1.0086149386740147e-15
0.04 -1.0146646550330043e-15
0.046202 -1.0173955816125066e-15
0.065798 -1.0269940756379895e-15
0.08 -1.0348503307477802e-15
0.086202 -1.0382863852193428e-15
0.105798 -1.0499365536271547e-15
0.12 -1.0591105683172807e-15
0.126202 -1.0630635984102888e-15
0.145798 -1.0761887643933992e-15
0.16 -1.0862762511632725e-15
0.166202 -1.090587194048546e-15
0.185798 -1.1046900372269902e-15
0.2 -1.115333766626269e-15
0.206202 -1.120969560489931e-15
0.225798 -1.1403703801388172e-15
0.24 -1.1560210529556648e-15
0.246202 -1.162947743854552e-15
0.265798 -1.186523037098233e-15
0.28 -1.2053070753782083e-15
0.286202 -1.2136412693802451e-15
0.305798 -1.2418351128993415e-15
0.32 -1.2641513175719177e-15
0.326202 -1.2741135063597703e-15
0.345798 -1.3077204069322552e-15
0.36 -1.334246923865338e-15
0.366202 -1.3461923431352873e-15
0.385798 -1.3864744014583642e-15
0.4 -1.4182750023907116e-15
0.406202 -1.4327506847121083e-15
0.425798 -1.481650852156452e-15
0.44 -1.5203665406878066e-15
0.446202 -1.5382134369709242e-15
0.465798 -1.5987396324070411e-15
0.48 -1.646937843289621e-15
0.486202 -1.6694783535725978e-15
0.505798 -1.7464204983916897e-15
0.52 -1.8082620934566504e-15
0.526202 -1.837663758966087e-15
0.545798 -1.9390183222902865e-15
0.56 -2.0216264643289806e-15
0.566202 -2.0616648586188367e-15
0.585798 -2.201722678054715e-15
0.6 -2.318283164427484e-15
0.606202 -2.376121997309272e-15
0.625798 -2.5830057745279623e-15
0.64 -2.760808756217524e-15
0.646202 -2.8518138371404776e-15
0.665798 -3.189238527902529e-15
0.68 -3.4950610761059446e-15
0.686202 -3.609594776513773e-15
0.705798 -4.010989035669719e-15
0.72 -4.345251895597745e-15
0.726202 -4.5119290796714435e-15
0.745798 -5.106455099808296e-15
0.76 -5.613751294696074e-15
0.766202 -5.8718165729182945e-15
0.785798 -6.814965926137346e-15
0.8 -7.647489418724139e-15
