ipopt_zL_out
Variable noncollocation_error
0 -4.3219018316791024e-09
1 -3.384853210803274e-09
2 -2.701438352773759e-09
3 -1.2575685764494275e-10
4 -1.0727519535337191e-08
5 -1.0244316464097435e-08
6 -1.025653953599641e-08
7 -1.0359264873859306e-08
8 -1.0723847468920608e-08
9 -1.180841787996065e-08
10 -6.31331304003242e-11
11 -3.73644469714595e-09
12 -4.71391710011415e-09
13 -6.012605506136131e-09
14 -7.680599531033857e-09
Variable virtual_noncollocation_error_sum
None -9.999999899020002e-13
Variable time
Variable tf
Variable rx
0.0 -9.999999999992686e-15
0.010337 -1.0025779146549065e-14
0.042997 -1.0130776705285833e-14
0.06666666666666667 -1.0228502343146819e-14
0.077003 -1.0276700331079071e-14
0.109663 -1.045034862589633e-14
0.13333333333333333 -1.05955811472964e-14
0.14367 -1.066385281973817e-14
0.17633 -1.0897712254025705e-14
0.2 -1.1082806967714873e-14
0.210337 -1.1168273533840298e-14
0.242997 -1.1471605331458962e-14
0.26666666666666666 -1.1727980675914014e-14
0.277003 -1.1850974194011911e-14
0.309663 -1.228802479669885e-14
0.3333333333333333 -1.2655687080672774e-14
0.34367 -1.2831191815910467e-14
0.37633 -1.3452902965295472e-14
0.4 -1.397598515606946e-14
0.410337 -1.4226263750946796e-14
0.442997 -1.5118075473982155e-14
0.4666666666666667 -1.587683243726696e-14
0.477003 -1.62431309038488e-14
0.509663 -1.756791847901258e-14
0.5333333333333333 -1.872176575601086e-14
0.54367 -1.9288355118519543e-14
0.57633 -2.1393776721996474e-14
0.6 -2.3304981904553524e-14
0.610337 -2.427183096106091e-14
0.642997 -2.8042549339438964e-14
0.6666666666666666 -3.17324855660396e-14
0.677003 -3.369728668105591e-14
0.709663 -4.153413377129442e-14
0.7333333333333333 -4.9221894681932826e-14
0.74367 -5.326226867260641e-14
0.77633 -6.988762120648632e-14
0.8 -8.730537414456122e-14
0.810337 -9.701131104044604e-14
0.842997 -1.4107807657953e-13
0.8666666666666667 -1.9478116998562886e-13
0.877003 -2.2830612921169227e-13
0.909663 -4.1771664025068547e-13
0.9333333333333333 -7.527541950994054e-13
0.94367 -1.0403509864607801e-12
0.97633 -5.248494480593508e-12
1.0 -0.009999999999999998
Variable ry
0.0 -1.333333324444575e-14
0.010337 -1.3103055964397825e-14
0.042997 -1.2506458970735329e-14
0.06666666666666667 -1.2180412951389495e-14
0.077003 -1.2062395774759534e-14
0.109663 -1.1776510204121349e-14
0.13333333333333333 -1.1644753995940928e-14
0.14367 -1.1605731481006335e-14
0.17633 -1.1553241694172961e-14
0.2 -1.158092449687859e-14
0.210337 -1.1607875101884864e-14
0.242997 -1.171804643243422e-14
0.26666666666666666 -1.181681263492122e-14
0.277003 -1.186385034082551e-14
0.309663 -1.2028603605476715e-14
0.3333333333333333 -1.2163685329188823e-14
0.34367 -1.2226912280281963e-14
0.37633 -1.2444062603830627e-14
0.4 -1.261831438744777e-14
0.410337 -1.2698963431229379e-14
0.442997 -1.2972392985569268e-14
0.4666666666666667 -1.3188577272031075e-14
0.477003 -1.3287830495667407e-14
0.509663 -1.3621136428223612e-14
0.5333333333333333 -1.3881719207383126e-14
0.54367 -1.4000612958901092e-14
0.57633 -1.4396911327582065e-14
0.6 -1.470401252556713e-14
0.610337 -1.484343862635488e-14
0.642997 -1.5305434911157044e-14
0.6666666666666666 -1.5660914888503983e-14
0.677003 -1.5821725735207762e-14
0.709663 -1.6351356506763466e-14
0.7333333333333333 -1.675092791076514e-14
0.74367 -1.692808928459945e-14
0.77633 -1.749119379078139e-14
0.8 -1.789528812345494e-14
0.810337 -1.8068580625199697e-14
0.842997 -1.859392932767064e-14
0.8666666666666667 -1.8944231724989098e-14
0.877003 -1.9086569055571202e-14
0.909663 -1.9482969986025548e-14
0.9333333333333333 -1.9709736029400413e-14
0.94367 -1.979027691959437e-14
0.97633 -1.9961721945473202e-14
1.0 -1.9999999800000003e-14
Variable rz
0.0 -3.703703648833587e-14
0.010337 -3.83610909058249e-14
0.042997 -4.260105217431359e-14
0.06666666666666667 -4.5607451345470734e-14
0.077003 -4.686382642691718e-14
0.109663 -5.0421581957898084e-14
0.13333333333333333 -5.242471021448569e-14
0.14367 -5.310184829432914e-14
0.17633 -5.431060551745092e-14
0.2 -5.4234941440730277e-14
0.210337 -5.398537762911281e-14
0.242997 -5.2877530647349206e-14
0.26666666666666666 -5.187277467321704e-14
0.277003 -5.140298617855153e-14
0.309663 -4.981425743792851e-14
0.3333333333333333 -4.858424650423197e-14
0.34367 -4.803159514168275e-14
0.37633 -4.6242885027492255e-14
0.4 -4.492375150639195e-14
0.410337 -4.434588811639045e-14
0.442997 -4.2527548632718936e-14
0.4666666666666667 -4.1229175403519015e-14
0.477003 -4.0670080111892577e-14
0.509663 -3.894417335942919e-14
0.5333333333333333 -3.773874681022843e-14
0.54367 -3.722573023307958e-14
0.57633 -3.566244108424265e-14
0.6 -3.4586680277016495e-14
0.610337 -3.413239777135362e-14
0.642997 -3.2759694545011424e-14
0.6666666666666666 -3.1824050459812974e-14
0.677003 -3.1430606637288814e-14
0.709663 -3.024555568656929e-14
0.7333333333333333 -2.9449397866125405e-14
0.74367 -2.911986338249569e-14
0.77633 -2.815690638143408e-14
0.8 -2.7535869831860064e-14
0.810337 -2.7285409870546407e-14
0.842997 -2.6578146544918334e-14
0.8666666666666667 -2.6145720129856036e-14
0.877003 -2.597811525707373e-14
0.909663 -2.553401482594544e-14
0.9333333333333333 -2.529389640743032e-14
0.94367 -2.521088822913404e-14
0.97633 -2.5037952410498514e-14
1.0 -2.4999999750000002e-14
Variable vx
