ipopt_zU_out
Variable noncollocation_error
0 1.000231423063435e-12
1 1.0002955109872047e-12
2 1.0003703001419536e-12
3 1.0080155811756721e-12
4 1.000093216782821e-12
5 1.000097614530002e-12
6 1.000097498176019e-12
7 1.0000965311636167e-12
8 1.0000932487086045e-12
9 1.0000846824204109e-12
10 1.016094462739119e-12
11 1.0002676956381044e-12
12 1.0002121727070716e-12
13 1.0001663348104865e-12
14 1.0001302050206919e-12
Variable virtual_noncollocation_error_sum
None 1.000000000001
Variable time
Variable tf
Variable rx
0.0 9.999998899973229e-14
0.010337 9.749316117423283e-14
0.042997 8.856700583940359e-14
0.06666666666666667 8.173956411335418e-14
0.077003 7.878666767141667e-14
0.109663 6.988406587971529e-14
0.13333333333333333 6.401624711711771e-14
0.14367 6.163228104941012e-14
0.17633 5.4831709090767396e-14
0.2 5.058130046848577e-14
0.210337 4.8874310083200665e-14
0.242997 4.380538532935908e-14
0.26666666666666666 4.0430453996328217e-14
0.277003 3.9033906949889664e-14
0.309663 3.494065348883725e-14
0.3333333333333333 3.2274575577727706e-14
0.34367 3.1186731833065546e-14
0.37633 2.8037433709449e-14
0.4 2.600868546972172e-14
0.410337 2.5184174305715877e-14
0.442997 2.2802928869158222e-14
0.4666666666666667 2.1269741727776726e-14
0.477003 2.064600719983394e-14
0.509663 1.884017572555835e-14
0.5333333333333333 1.767214206572903e-14
0.54367 1.7195352552380127e-14
0.57633 1.5808418146116564e-14
0.6 1.4905190874091818e-14
0.610337 1.4534888401115682e-14
0.642997 1.3451725529108141e-14
0.6666666666666666 1.2741035845401447e-14
0.677003 1.2449575908113277e-14
0.709663 1.1638270645719173e-14
0.7333333333333333 1.1150280955147095e-14
0.74367 1.0961909282950395e-14
0.77633 1.0450269127319515e-14
0.8 1.0147550201761417e-14
0.810337 1.0030902727592115e-14
0.842997 9.717065526885361e-15
0.8666666666666667 9.535976102635977e-15
0.877003 9.467911228059289e-15
0.909663 9.293159176927921e-15
0.9333333333333333 9.202040782333188e-15
0.94367 9.17104846068881e-15
0.97633 9.106682670661849e-15
1.0 9.090909e-15
Variable ry
0.0 3.9999999199988274e-14
0.010337 4.222629421267008e-14
0.042997 4.98969202876378e-14
0.06666666666666667 5.586286883498174e-14
0.077003 5.848729529456614e-14
0.109663 6.62901310453183e-14
