ipopt_zU_out
Variable noncollocation_error
0 6.387535469011527e-11
1 6.394634799674044e-11
2 6.401040963552825e-11
3 6.343995410026361e-11
4 6.345946705922395e-11
5 6.348204037776407e-11
6 6.350386922876453e-11
7 6.351161246951813e-11
8 6.349666911493137e-11
9 6.34682459846597e-11
10 6.355068606669178e-11
11 6.352065315202877e-11
12 6.349118078543767e-11
13 6.346213940402801e-11
14 6.34328792749942e-11
Variable virtual_noncollocation_error_sum
None 1.0249803961901971e-12
Variable time
Variable tf
0 1.7589248663697742e-12
1 1.4385969237645017e-12
2 1.2538907277487852e-12
3 1.4563052559253354e-12
4 1.3332399166430488e-12
5 1.2870321841553579e-12
6 1.2949251527024516e-12
7 1.3376704283965485e-12
8 1.4099711535010877e-12
9 1.5407908463665252e-12
10 9.840716517249886e-13
11 1.060536626623741e-12
12 1.1730690134652358e-12
13 1.346045466094835e-12
14 1.6357941766041246e-12
Variable rx
0.0 9.999998900000112e-14
0.010337 9.71765046388317e-14
0.042997 8.70741716369906e-14
0.06666666666666667 7.943717597662843e-14
0.077003 7.641191407374283e-14
0.109663 6.741312032221674e-14
0.13333333333333333 6.157386603244305e-14
0.14367 5.936738346761437e-14
0.17633 5.308615223648768e-14
0.2 4.916231173987682e-14
0.210337 4.745586363340709e-14
0.242997 4.2332257275675974e-14
0.26666666666666666 3.8922304294547745e-14
0.277003 3.757380847501674e-14
0.309663 3.3635669050447295e-14
0.3333333333333333 3.1079732312694153e-14
0.34367 3.005612762711867e-14
0.37633 2.7092068316099762e-14
0.4 2.5180720761503092e-14
0.410337 2.4400835497213614e-14
0.442997 2.2145898178946772e-14
0.4666666666666667 2.0691415803219413e-14
0.477003 2.0089615101905256e-14
0.509663 1.834686612844545e-14
0.5333333333333333 1.7219104955944947e-14
0.54367 1.674745214019301e-14
0.57633 1.53774737815161e-14
0.6 1.4486873019974464e-14
0.610337 1.4108566442989406e-14
0.642997 1.300637553661873e-14
0.6666666666666666 1.2286787297166195e-14
0.677003 1.2060147729213195e-14
0.709663 1.1431957117725092e-14
0.7333333333333333 1.1048107766625099e-14
0.74367 1.088833360705503e-14
0.77633 1.044635969275948e-14
0.8 1.0178277821712148e-14
0.810337 1.0066597262594643e-14
0.842997 9.762744973925353e-15
0.8666666666666667 9.584254515234557e-15
0.877003 9.511344048315996e-15
0.909663 9.322977291082149e-15
0.9333333333333333 9.223316346106604e-15
